t,u1,u2,u3,u4,u5,u6,u_norm,e1,e2,e3,e4,e5,e6,e_norm,q1,q2,q3,q4,q5,q6
2.800000000000000266e-01,1.943410587868573403e-01,1.596568253301587290e-02,-2.055702820818182744e-02,5.476670041425738163e-03,-3.410601887407349727e-04,1.943444155984820065e-01,2.761264269659901016e-01,-1.122523070970959935e-02,-1.356031364337573208e-02,1.664396623783215290e-02,-8.207261626766992890e-04,-3.330740901752449190e-06,-1.122557600849960480e-02,2.671323046674746460e-02,-1.296927984798937672e+00,-2.332502318562896804e-01,-1.783319404748594739e+00,4.497766890056427158e-01,1.576916693001859215e+00,2.675071494950223006e-01
2.933333333333333348e-01,1.631872735607101388e-01,-1.077891970886087070e-02,1.276693919515418593e-02,2.131615205601376101e-03,-3.588380714370677910e-04,1.631883662931050971e-01,2.313965893012249753e-01,-1.121316973375741100e-02,-1.355814138109456835e-02,1.663886175813811263e-02,-8.217779394001922810e-04,-3.368955423077579781e-06,-1.121351465698072758e-02,2.669884520139588491e-02,-1.294336770681779658e+00,-2.330373560891829676e-01,-1.783593498458037052e+00,4.498497112728618852e-01,1.576912145532675780e+00,2.700984083696686966e-01
3.066666666666666985e-01,1.231872735607101310e-01,-4.577392962856704356e-02,5.686292170231578569e-02,-4.816533937083421722e-03,-2.859275264857400432e-04,1.231883662931050755e-01,1.889507957357355050e-01,-1.151942704991881783e-02,-1.380895415468952336e-02,1.694745326349744730e-02,-8.398113089622682992e-04,-3.775475904355118928e-06,-1.151979998000518535e-02,2.727657741343945605e-02,-1.292160940367636845e+00,-2.331810750186344983e-01,-1.783423272602101761e+00,4.498781328089367371e-01,1.576907361025056353e+00,2.722742532535766813e-01
3.200000000000000067e-01,8.318727356071013712e-02,-8.022597916298353227e-02,1.014018797333122723e-01,-1.733902433783521269e-02,-1.639939363392612260e-04,8.318836629310505382e-02,1.756691332422632423e-01,-1.192030377610109326e-02,-1.414130124129364674e-02,1.735853789757335619e-02,-8.474073516402391704e-04,-3.955399806798709506e-06,-1.192069708742504730e-02,2.803943677693935405e-02,-1.290518443386827308e+00,-2.337913940803488799e-01,-1.782665100312737616e+00,4.498139123564421915e-01,1.576903548658036058e+00,2.739167648041513914e-01
3.333333333333333703e-01,4.318727356071012935e-02,-1.142635385031622874e-01,1.462735365403496912e-01,-3.381156164463877678e-02,-2.173428508050536409e-05,4.318836629310504605e-02,1.983070888223314177e-01,-1.207363442886721927e-02,-1.426923457609996504e-02,1.752595504182874464e-02,-8.434467977198600863e-04,-3.884934003828277582e-06,-1.207403471936752126e-02,2.833789928409806425e-02,-1.289409279739351266e+00,-2.348610738025218581e-01,-1.781313075249626676e+00,4.495827253652708855e-01,1.576901362072217871e+00,2.750259430213928269e-01
3.466666666666666785e-01,3.187273560710125048e-03,-1.485589551618891613e-01,1.909232336535223451e-01,-4.680340453077098950e-02,8.910663412756299716e-05,3.188366293105045213e-03,2.464393136566135067e-01,-1.184834028813686047e-02,-1.399500862175750981e-02,1.720921332175073815e-02,-8.270931906739775741e-04,-3.546318570357698263e-06,-1.184873198583158427e-02,2.781145451885931597e-02,-1.288833449425208499e+00,-2.363845876492307596e-01,-1.779362761429088780e+00,4.491319045433423973e-01,1.576901072281749805e+00,2.756017879053009878e-01
3.600000000000000422e-01,-3.681272643928987925e-02,-1.832838283945878166e-01,2.352070922426589827e-01,-5.422743561958936337e-02,1.712186888328254145e-04,-3.681163370689495562e-02,3.075162683273912623e-01,-1.147455889773896232e-02,-1.351230601753350413e-02,1.664118389026381095e-02,-7.989310084406398005e-04,-2.952142875933816413e-06,-1.147493037703828378e-02,2.689775536560624555e-02,-1.288790952444399007e+00,-2.383653737180559951e-01,-1.776817118313708477e+00,4.485078591495987865e-01,1.576902260370204978e+00,2.756442994558758741e-01
3.733333333333333504e-01,-7.681272643928986621e-02,-2.084978067459477280e-01,2.673457170472698929e-01,-5.813106651175751344e-02,1.760274160699293918e-04,-7.681163370689494951e-02,3.607277945163006594e-01,-1.115304317843346382e-02,-1.312189056829060618e-02,1.618599306717349862e-02,-7.599147144459195147e-04,-2.122739819032659625e-06,-1.115338622663442081e-02,2.614452629130078337e-02,-1.289281788796922790e+00,-2.408091580966504885e-01,-1.773681023750472985e+00,4.477848266746708994e-01,1.576904543286056004e+00,2.751534776731174858e-01
3.866666666666667140e-01,-8.755217174850578321e-02,-2.000319360112094436e-01,2.569664814771433492e-01,-5.563780149063454750e-02,1.606892085262417579e-04,-8.755366008653614474e-02,3.528047122351077869e-01,-1.108310892312314166e-02,-1.299083869886752396e-02,1.605220999261547377e-02,-7.409391051611535772e-04,-1.726976148752612517e-06,-1.108341870986828681e-02,2.593572445849724045e-02,-1.290305958482780069e+00,-2.435891288532632259e-01,-1.770116414189842668e+00,4.470097457878474678e-01,1.576906890318269916e+00,2.741293225570253789e-01
4.000000000000000222e-01,-1.026925294299155522e-01,-1.902586267495730288e-01,2.450060635903329453e-01,-5.364326427972726519e-02,1.865999219899424483e-04,-1.026942796845864703e-01,3.466926903634244272e-01,-1.107134020058575530e-02,-1.296333487767675763e-02,1.604629600991058780e-02,-7.380305184558899612e-04,-1.679170614998781730e-06,-1.107164965838025594e-02,2.590815235884772957e-02,-1.291473320772760225e+00,-2.462562213334127392e-01,-1.766690194436814076e+00,4.462679084346388159e-01,1.576909032841050440e+00,2.729619404225380741e-01
4.133333333333333859e-01,-1.274416289199802044e-01,-1.951833247329324561e-01,2.519322372790895326e-01,-5.576405287606411160e-02,2.292096066556750160e-04,-1.274438075784875279e-01,3.703503171813649075e-01,-1.105958397479689381e-02,-1.293651075733182054e-02,1.603983949565357392e-02,-7.352301392211657571e-04,-1.633680748014398887e-06,-1.105989310399024816e-02,2.588060974580578752e-02,-1.292842554498492502e+00,-2.487930030234069001e-01,-1.763423446922276261e+00,4.455526649109091686e-01,1.576911520840010184e+00,2.715926833600770252e-01
