ref_x,ref_y,ref_z,fk_x,fk_y,fk_z,err_x,err_y,err_z,xy_err,xyz_err
5.192662867004088634e-02,-8.049148409912584290e-01,1.000000000000000056e-01,5.192662867004091409e-02,-8.049148409912582069e-01,9.999999999999981126e-02,2.775557561562891351e-17,2.220446049250313081e-16,-1.942890293094023946e-16,2.237726045655904808e-16,2.963484527782420448e-16
5.091345507906788748e-02,-8.057165848016756282e-01,1.000000000000000056e-01,5.091345507906833157e-02,-8.057165848016771825e-01,9.999999999999964473e-02,4.440892098500626162e-16,-1.554312234475219157e-15,-3.608224830031758756e-16,1.616509124176106050e-15,1.656289410937949155e-15
5.016661709331002306e-02,-8.064881259343029685e-01,1.000000000000000056e-01,5.016661709330957203e-02,-8.064881259343013031e-01,9.999999999999981126e-02,-4.510281037539698445e-16,1.665334536937734811e-15,-1.942890293094023946e-16,1.725330539431074181e-15,1.736235495894353311e-15
4.987556993709552078e-02,-8.073200724225098046e-01,1.000000000000000056e-01,4.987556993709591630e-02,-8.073200724225113589e-01,9.999999999999975575e-02,3.955169525227120175e-16,-1.554312234475219157e-15,-2.498001805406602216e-16,1.603845435811132670e-15,1.623182156188992935e-15
5.009522816820080604e-02,-8.082838124137989855e-01,1.000000000000000056e-01,5.009522816820087543e-02,-8.082838124137986524e-01,1.000000000000000333e-01,6.938893903907228378e-17,3.330669073875469621e-16,2.775557561562891351e-17,3.402181501003038339e-16,3.413484460715000537e-16
5.069928830374023643e-02,-8.093189405525909041e-01,1.000000000000000056e-01,5.069928830374066664e-02,-8.093189405525924585e-01,9.999999999999981126e-02,4.302114220422481594e-16,-1.554312234475219157e-15,-1.942890293094023946e-16,1.612751806663059301e-15,1.624412699040780056e-15
5.160537850704940976e-02,-8.103183746176314539e-01,1.000000000000000056e-01,5.160537850704973589e-02,-8.103183746176330082e-01,9.999999999999992228e-02,3.261280134836397337e-16,-1.554312234475219157e-15,-8.326672684688674053e-17,1.588158053664097298e-15,1.590339382401733802e-15
5.273112694146389612e-02,-8.111750323876663060e-01,1.000000000000000056e-01,5.273112694146397245e-02,-8.111750323876653068e-01,9.999999999999964473e-02,7.632783294297951215e-17,9.992007221626408864e-16,-3.608224830031758756e-16,1.002111780816947807e-15,1.065091961049698118e-15
5.399416177031909903e-02,-8.117818316414409097e-01,1.000000000000000056e-01,5.399416177031887004e-02,-8.117818316414397994e-01,9.999999999999997780e-02,-2.289834988289385365e-16,1.110223024625156540e-15,-2.775557561562891351e-17,1.133591022875434248e-15,1.133930764694885689e-15
5.548234628605722141e-02,-8.120673842314525270e-01,1.000000000000000056e-01,5.548234628605722835e-02,-8.120673842314525270e-01,9.999999999999981126e-02,6.938893903907228378e-18,0.000000000000000000e+00,-1.942890293094023946e-16,6.938893903907228378e-18,1.944128986425527896e-16
