time_s,x_m,y_m,z_m
1.780994367938212633e+09,1.399718549776411518e-02,-7.967567915020745684e-01,9.998254028510522584e-02
1.780994367948476553e+09,1.401181127109403166e-02,-7.967432051445378915e-01,9.998687161938035750e-02
1.780994367958876371e+09,1.399275374045376094e-02,-7.967574271323599744e-01,1.000185854664105700e-01
1.780994367969218016e+09,1.400824971908482333e-02,-7.967347056975860875e-01,9.996830803038769808e-02
1.780994367979855776e+09,1.400096171095126761e-02,-7.967548229388072834e-01,9.999573038632308952e-02
1.780994367990280151e+09,1.400325900661897674e-02,-7.967471011925538749e-01,9.998208995568313995e-02
1.780994368000510693e+09,1.398683255106774638e-02,-7.967241893814636100e-01,9.994985146010676447e-02
1.780994368011450529e+09,1.400954774531733976e-02,-7.967622492025057124e-01,9.999338723165612786e-02
1.780994368023293734e+09,1.400529356318533022e-02,-7.967444383004800290e-01,9.997721677937004836e-02
1.780994368033732414e+09,1.400249300283368768e-02,-7.967612339689050804e-01,1.000029032825294761e-01
1.780994368045955420e+09,1.400959733792730109e-02,-7.967512758289680974e-01,1.000009053034048856e-01
1.780994368056342363e+09,1.399063268891201708e-02,-7.967642897295873494e-01,1.000016388216346530e-01
1.780994368066934824e+09,1.399213755478127125e-02,-7.967420679618461010e-01,9.999248310762393066e-02
1.780994368077289820e+09,1.399678668018914177e-02,-7.967615337208060478e-01,9.998411016223951453e-02
1.780994368088153124e+09,1.399635405785970566e-02,-7.967439787636635407e-01,9.997800756826152879e-02
1.780994368098316908e+09,1.400393309223288939e-02,-7.967625257699407770e-01,1.000214266590503387e-01
1.780994368108488083e+09,1.400040872397425099e-02,-7.967368103079034425e-01,9.998084675685070533e-02
1.780994368118732214e+09,1.400545798059639122e-02,-7.967451266636738083e-01,9.996848916166578558e-02
1.780994368128919363e+09,1.399219360072529936e-02,-7.967575943338475186e-01,9.998579568633730874e-02
1.780994368139095306e+09,1.400166006949283073e-02,-7.967527562911411732e-01,9.999344577207214257e-02
1.780994368149276495e+09,1.400681455923864956e-02,-7.967508062252293133e-01,9.999102023517986160e-02
1.780994368159424305e+09,1.400878596135687534e-02,-7.967414673597417174e-01,9.999249594510517536e-02
1.780994368169592381e+09,1.400115717772386359e-02,-7.967556412957621514e-01,9.999552997096095019e-02
1.780994368179978848e+09,1.402127875417952078e-02,-7.967426579606151638e-01,9.997941073691724023e-02
1.780994368190197706e+09,1.402243600979194427e-02,-7.967666913028376152e-01,1.000173490113744901e-01
1.780994368200445652e+09,1.400795877454403399e-02,-7.967444157886884870e-01,9.999127585692624276e-02
1.780994368210624456e+09,1.400498887136359533e-02,-7.967367510187107760e-01,9.998015961981288058e-02
1.780994368220808029e+09,1.401609418472007582e-02,-7.967401418433249782e-01,9.997155976105004394e-02
1.780994368230985165e+09,1.401341941339052238e-02,-7.967387570830057886e-01,9.997860270105307645e-02
1.780994368242929935e+09,1.400507639143904956e-02,-7.967547101148163557e-01,1.000011372323519332e-01
1.780994368254537582e+09,1.400559064946784241e-02,-7.967568631807605550e-01,9.999347710714578952e-02
1.780994368265355587e+09,1.400935822211181979e-02,-7.967614557293679622e-01,9.999156027671785019e-02
1.780994368276341438e+09,1.401159207532867365e-02,-7.967422874418680356e-01,9.997059656908563463e-02
1.780994368286523581e+09,1.401387522910837492e-02,-7.967518462776250754e-01,9.998187181367756970e-02
1.780994368296694040e+09,1.400830728056987745e-02,-7.967570557727470248e-01,9.998937161741583424e-02
1.780994368306880951e+09,1.402161272123158241e-02,-7.967696559198004236e-01,9.998798315028450956e-02
1.780994368317220211e+09,1.400683222183425961e-02,-7.967511106113178698e-01,9.998002691883989268e-02
1.780994368327428102e+09,1.400848875368004495e-02,-7.967514039082922439e-01,9.998497272936229807e-02
1.780994368337889910e+09,1.401900358593957674e-02,-7.967523217803316182e-01,9.999439809876975449e-02
1.780994368348057508e+09,1.400869512970548403e-02,-7.967539101720105821e-01,9.996963547068826728e-02
1.780994368358283758e+09,1.400561298490973945e-02,-7.967457756172336980e-01,9.997552163540057713e-02
1.780994368368468285e+09,1.400826801375674655e-02,-7.967504797407261030e-01,9.999011171909011342e-02
1.780994368378692627e+09,1.399639150744799200e-02,-7.967598791435142047e-01,9.997374833224093038e-02
1.780994368388915539e+09,1.401495141104792085e-02,-7.967501613647475223e-01,9.999631050641721863e-02
1.780994368399175167e+09,1.401904799488639698e-02,-7.967673124530467721e-01,9.997698016606670901e-02
1.780994368409517527e+09,1.400480890606193435e-02,-7.967424091958781318e-01,9.996314441373177484e-02
1.780994368420073032e+09,1.401298740265235349e-02,-7.967556545451037753e-01,9.997665413910467036e-02
1.780994368430532694e+09,1.402529346121928096e-02,-7.967565460414615108e-01,1.000049958175534548e-01
1.780994368441417694e+09,1.398575385660593730e-02,-7.967500531463781455e-01,9.996340650598811717e-02
1.780994368452727079e+09,1.399220311559672310e-02,-7.967423424631597806e-01,9.999508420887581739e-02
1.780994368463165522e+09,1.400422804115778255e-02,-7.967511582906399159e-01,9.998698702504266178e-02
1.780994368473825455e+09,1.401198724922856839e-02,-7.967439419087892771e-01,9.997928404240963296e-02
1.780994368485634565e+09,1.398762936011946692e-02,-7.967517148753463507e-01,9.999654473396446530e-02
1.780994368497364998e+09,1.400757260566934739e-02,-7.967475682891408395e-01,1.000033720139487103e-01
1.780994368508435488e+09,1.401518291073704757e-02,-7.967685023925594745e-01,9.999657936632355693e-02
1.780994368518659592e+09,1.402076832197881456e-02,-7.967361806789834411e-01,9.996679077461295693e-02
1.780994368529012680e+09,1.401250287053217199e-02,-7.967461006505254240e-01,9.998102186295626526e-02
1.780994368539288044e+09,1.400734960571489544e-02,-7.967421180850592366e-01,9.997943339970050136e-02
1.780994368549503326e+09,1.400864720203691578e-02,-7.967632484552855665e-01,9.999124765607203535e-02
1.780994368560432434e+09,1.399766454844324215e-02,-7.967430987905532724e-01,9.998567025645449524e-02
1.780994368570658445e+09,1.401151010181514098e-02,-7.967371750675930064e-01,9.997183861122338477e-02
1.780994368581023932e+09,1.399488443841658859e-02,-7.967535690873366327e-01,9.996704716234250387e-02
1.780994368591318369e+09,1.401007916422390698e-02,-7.967580624493464381e-01,1.000051059913357188e-01
1.780994368601512671e+09,1.401038386458590586e-02,-7.967657497668708677e-01,9.999940815542457395e-02
1.780994368612367153e+09,1.400750113950511092e-02,-7.967424998452269369e-01,9.996030145687240243e-02
1.780994368627413034e+09,1.397958678276095719e-02,-7.967465634293735555e-01,9.997931944275761929e-02
1.780994368637814283e+09,1.400871685305176730e-02,-7.967475895744273728e-01,9.996092354411562075e-02
